meter_id,X2018_7_1_1h,X2018_7_1_2h,X2018_7_1_3h,X2018_7_1_4h,X2018_7_1_5h,X2018_7_1_6h,X2018_7_1_7h,X2018_7_1_8h,X2018_7_1_9h,X2018_7_1_10h,X2018_7_1_11h,X2018_7_1_12h,X2018_7_1_13h,X2018_7_1_14h,X2018_7_1_15h,X2018_7_1_16h,X2018_7_1_17h,X2018_7_1_18h,X2018_7_1_19h,X2018_7_1_20h,X2018_7_1_21h,X2018_7_1_22h,X2018_7_1_23h,X2018_7_1_24h,X2018_7_1_d,X2018_7_2_d,X2018_7_3_d,X2018_7_4_d,X2018_7_5_d,X2018_7_6_d,X2018_7_7_d,X2018_7_8_d,X2018_7_9_d,X2018_7_10_d,X2018_7_m,X2018_8_m,X2018_9_m,X2018_10_m,X2018_11_m
X5,6.357582432375776,6.22558300771551,6.148492729795672,6.062630633253069,6.046965299758994,5.950012054509267,5.9380544774946245,6.077872062761934,6.05994952232424,6.071337791638091,6.04195820710552,6.050802344963646,6.076877984304929,6.087342398673533,6.088859715971556,6.104416205861455,6.131754174973661,6.180761379793935,6.23753951524626,6.336627509104899,6.409789820274511,6.408918276253321,6.474877322810011,6.483360304219669,111.49281680629596,145.82888849406334,150.4341946248694,152.08959797383136,153.65030757381248,152.80758855649506,153.32038249150534,168.9941643835617,170.7476849315069,172.50120547945212,5673.692191780827,7358.825438356175,8725.915273972605,10674.732794520529,11934.857876712293
X7,1.1079110840155522,1.302504190918312,1.237155076403483,1.1567870631269848,1.2399360991520214,1.2524757754220766,1.2475615267709839,1.4315159996282543,1.6095371930295355,1.6056575036754062,1.628098613459478,1.6270998348925967,1.6167752135655977,1.615043883506495,1.6196652506970572,1.6512693340439792,1.6971771560181779,1.792504474216777,1.8454174137638157,1.7782189627485296,1.713136016736146,1.6242261920561876,1.5396330347196499,1.4265015142259747,38.64756147135286,46.54491189503652,43.389354446626754,36.0391512519268,39.637003404875955,37.80515869236193,41.35784989594644,41.008957306549405,41.15580358752934,41.327690012047626,1340.1263656510714,1507.8734145165945,1640.785691003209,1883.08368024923,2003.8923998017488
X10,2.363100627673785,2.3455839994932175,2.389812551617141,2.450782452520759,2.460083190336895,2.515945967743714,2.56960840076535,2.9881534267073824,3.3605310056870046,3.542942156403226,3.5788145408797005,3.530347083266814,3.545613186611236,3.535820901239621,3.5747707418505854,3.652063050133943,3.7671113618053473,3.9040387877769973,4.065958001397798,3.723265669734176,3.4164306326214815,3.0860148545916717,2.9509334811024392,2.8492064524353005,70.93493640407857,68.46229489883382,77.969714336009,75.56983791279393,72.928464232161,76.52228666125299,81.94331338330667,86.82066543862369,87.14506736608546,87.47012342699327,2787.0297549614397,3084.692492863686,3282.8377266976445,3699.838808978113,3878.140613259993
X16,3.4761426450398742,3.421668100198838,3.4364251872335974,3.454351196689327,3.4728785802248017,3.5859351282358705,3.620003378371198,3.717686479107157,3.9540042561767974,4.084098993018341,4.12595309299257,4.094999053610316,4.12017905974847,4.12526020213249,4.1519176882743185,4.20734509896916,4.312282774157092,4.363029616736087,4.660126157685993,4.862491161893054,5.016478851506905,4.779415399305578,4.221214603207093,3.8794067192137778,87.3096119286355,113.44266490841697,115.83974493180537,110.04688225261398,110.10488481115394,109.29537139734495,109.61613713462052,116.60680719848439,117.15374448115404,117.71663278399107,3774.673962990299,4311.681046553549,4701.41684485332,5404.580432813448,5759.061412204966
X18,2.5179942369583737,2.515856028003114,2.508360028551425,2.5092175380873423,2.514045460977478,2.5337078869278784,2.5759740777380395,2.579353775431464,2.574562187399093,2.5670376127800827,2.5611746843616734,2.5601004770968405,2.555165527674178,2.5599357132202005,2.563507082618277,2.568527902776193,2.5755942204754843,2.585143018893646,2.592609103916284,2.581272275044574,2.5779509213469796,2.572568588907336,2.562304519043525,2.544265236876864,47.635773303119905,61.01499226480437,63.01409111500848,63.38364226245309,64.02451939744535,63.50716840489842,63.926878366952074,70.55193150684933,71.26154794520549,71.97116438356166,2363.094753424658,3045.036150684932,3596.1082191780824,4386.920835616439,4894.7063013698635
X20,0.7581354737908986,0.7920489973565582,0.8198264464561058,0.8408439897162354,0.8250918571108371,0.7998041831568858,0.7891636872563186,0.8142259293152176,0.8503704272522525,0.8732380869984614,0.8747378504614263,1.2271501050192692,1.561952235362938,1.1794983546035684,1.133501872000923,1.0777507859242825,1.0790696883075164,1.0828123480759233,1.4699101439559867,1.7120293162360705,1.8556849289353334,1.9174675488854382,1.2332102461460606,1.110312575916328,22.203057371568026,46.99337688850326,23.20872595991742,36.255853997693606,22.580524142328258,33.94232355170477,32.13767343506972,53.27880471981139,33.877543588459986,52.142257567428864,1440.091935696182,1948.2252574958065,2356.280524641013,2921.8014771752964,3298.8101707489745
X26,1.1151913682974135,1.1401206705650315,1.1658388187137163,1.194553765831887,1.265336707534109,1.3786927184465148,1.4165784881181023,1.4510421587590494,1.4639977489199767,1.416582347974619,1.3912440499784067,1.3803726530114435,1.3707666539404717,1.3621790940683196,1.3578518257818453,1.373581433594016,1.4289208764721173,1.4672333716061905,1.493680565945045,1.5189805558203386,1.5736507870167533,1.544429351909614,1.4390191043748564,1.3721595556786927,28.505782598788706,29.737166376710974,33.373640543765745,34.28573676962932,33.54031721975275,32.87737473609503,32.98664010831757,33.40060964043203,33.364468784773734,33.328327929115446,1026.4559666501357,991.7246043625132,926.664605165414,923.3822463126758,860.5268393107327
X30,3.5945436043693206,2.933704627010675,2.7174133207173425,2.584073341157313,2.465822826532415,2.3515676995241117,2.2760223144775438,2.2569685264564177,2.2662355410592707,2.2875306432649265,2.603095905901143,3.079858280961695,3.608815051940044,3.957084495274099,4.122940431619091,4.517414051341001,4.866874397602176,5.215121753867056,5.415312584652557,5.357902880724494,5.182755674618758,5.358273810209645,4.561931264675488,4.026348495002486,105.50938811481612,112.99858715843635,122.03258901581475,111.64051191767379,102.72799189533274,102.66464704257788,114.9082887097122,121.82298427253805,122.81966471045996,123.8168356880576,4039.646190568039,4982.270707346408,5734.119719618492,6868.243379865144,7559.2545639914615
X31,0.2582433865141338,0.29454119346989627,0.31196837585084436,0.32938708996595123,0.3436583868968396,0.3815677988525673,0.40993195454651987,0.4280580144453608,0.4322596894179648,0.43587023869874664,0.43498960356828675,0.4362753538381227,0.43657010871956836,0.43875385097700514,0.4418871935931741,0.44915411140463163,0.45687201976881114,0.4660232799747094,0.47637133987857216,0.4759390423919726,0.4733825336122105,0.47091902209573366,0.46666937625411775,0.41265330959645996,8.769611187721122,11.21976857452557,11.604268575444307,11.614648735085439,11.676002373222648,11.478309210627245,11.413265237712654,12.017808289445679,12.13453432562639,12.2512603618071,401.50011394563217,513.6738347152947,603.9080341201524,734.4027691330203,817.5166803308548
X32,0.3210591855507272,0.28644164826816754,0.282278602085656,0.2952492447397518,0.30628161016272004,0.35692156127686414,0.3963812620945903,0.4146198472761027,0.42062903628350223,0.4197197615292685,0.41718994450089397,0.41384750729921216,0.41170735269876313,0.4123790562259242,0.4140824702239087,0.4182034421776438,0.4317664661445087,0.44964174767477827,0.46927877605567625,0.5013884336006917,0.5252741995084453,0.5007800352223086,0.4741415592628202,0.39399584006805355,9.2755117160247,11.543455980540935,11.884764899762098,11.685164286734288,11.715382150890056,11.477924737425273,11.373232704581444,11.822905405405411,11.822905405405411,11.822905405405411,366.510067567568,366.510067567568,354.68716216216245,366.510067567568,354.68716216216245
