eventcategory,isfirstactivity,apppackagename,appversion,devicetype,devicemanufacturer,osversion,canonicaldeviceuuid,sourcetype,channel,params_campaign,params_medium,params_term,inappeventcategory,inappeventlabel,eventdatetime,rowuuid,isfirstgoalactivity,event_rank
goal,False,com.kmong.kmong,3.3.2,SM-N950N,samsung,Android8.0.0,27cc7fa2-8b8d-4313-8ffc-c138ccc91e4c,unattributed,unattributed,,,,search_gig.view,,2018-09-28T23:00:00+09:00,6d0247c8-00d5-4252-b9c9-5e512352adc5,False,True
goal,False,com.kmong.kmong,3.3.2,SM-N950N,samsung,Android8.0.0,27cc7fa2-8b8d-4313-8ffc-c138ccc91e4c,unattributed,unattributed,,,,search.view,,2018-09-28T23:00:00+09:00,4f7256ca-66a6-40fe-bdd4-b65e8c32a59c,False,True
goal,False,com.kmong.kmong,3.3.2,SM-N950N,samsung,Android8.0.0,27cc7fa2-8b8d-4313-8ffc-c138ccc91e4c,unattributed,unattributed,,,,gig_detail.view,60104.0,2018-09-28T23:00:00+09:00,b89486a0-4023-4e64-ad81-14db489b1d18,False,True
goal,True,com.kmong.kmong,3.3.5,SM-G960N,samsung,Android8.0.0,fd2941b4-7049-4156-b8e2-5e357424e316,stranger,google,mweb-app-install,cpc,,gig_detail.view,408.0,2018-09-28T23:00:00+09:00,06687b36-fada-4176-9b0f-35b091288f7d,False,True
goal,False,com.kmong.iOS,4.0.4,iPhone,Apple,iOS11.4.1,2FA2D745-F623-414D-947F-A2D727395759,unattributed,unattributed,,,,menu.view,,2018-09-28T23:00:00+09:00,cade77bf-ac5f-4a3f-bb18-7c7b3943df22,False,True
goal,False,com.kmong.iOS,4.0.4,iPhone,Apple,iOS11.4.1,2FA2D745-F623-414D-947F-A2D727395759,unattributed,unattributed,,,,inbox.view,,2018-09-28T23:00:00+09:00,432d5364-791c-4e4f-a798-e10f0e8e3c22,False,True
goal,False,com.kmong.iOS,4.0.4,iPhone,Apple,iOS11.4.1,05E391F6-7C4B-4096-ACF0-4084AF9916FF,unattributed,unattributed,,,,inbox_detail.view,,2018-09-28T23:00:01+09:00,4919e7de-f175-4cfc-b53c-7690ff8d6335,False,True
background,,com.kmong.iOS,4.0.4,iPhone,Apple,iOS11.4.1,3A52CB5D-882E-4B8D-A45F-1AA626E06A31,,,,,,,,2018-09-28T23:00:01+09:00,5ecb455d-7332-4479-8e51-98ebbae6d8ed,,True
foreground,,com.kmong.iOS,4.0.4,iPhone,Apple,iOS11.2.6,374D4A27-C936-431F-8F67-8D900A3A040F,,,,,,,,2018-09-28T23:00:01+09:00,ada4bbf2-3b1b-4d4e-b78e-8de3e103296b,,True
launch,False,com.kmong.iOS,4.0.4,iPhone,Apple,iOS11.4.1,6A978F14-9C3A-4188-BB7E-089100FD0778,unattributed,unattributed,,,,,,2018-09-28T23:00:01+09:00,171d2c22-b82e-45e2-9f8d-7892e93b6b69,False,False
