eventcategory,isfirstactivity,apppackagename,appversion,devicetype,devicemanufacturer,osversion,canonicaldeviceuuid,sourcetype,channel,params_campaign,params_medium,params_term,inappeventcategory,inappeventlabel,eventdatetime,rowuuid,isfirstgoalactivity,event_rank
goal,False,com.kmong.kmong,3.3.5,SM-G930K,samsung,Android8.0.0,b0830029-c62f-4ead-a418-b964bde72cc6,unattributed,unattributed,,,,home.view,,2018-09-29T11:00:00+09:00,a2f7a949-1422-4312-9f21-2eea703e8aa0,False,True
background,,com.kmong.kmong,3.3.5,SM-G950N,samsung,Android8.0.0,c962b6b4-4266-4e36-a1db-d4c83b8afd71,,,,,,,,2018-09-29T11:00:00+09:00,2677a5e1-ebc3-4592-b7cf-d6c81303029f,,True
goal,False,com.kmong.kmong,3.3.5,SM-N960N,samsung,Android8.1.0,66248697-670f-4bd7-b868-172b5a0714f4,unattributed,unattributed,,,,home.view,,2018-09-29T11:00:01+09:00,823f3fca-833a-4c02-aa61-0afb7dce5717,False,True
background,,com.kmong.kmong,3.3.5,SM-G930K,samsung,Android8.0.0,b0830029-c62f-4ead-a418-b964bde72cc6,,,,,,,,2018-09-29T11:00:01+09:00,c280a686-446a-4b0b-bb37-58d438dd33f6,,True
goal,False,com.kmong.iOS,4.0.2,iPhone,Apple,iOS11.4.1,9E8A06EE-94CB-4128-AC99-7A81EEC6C3B4,unattributed,unattributed,,,,notification.view,,2018-09-29T11:00:01+09:00,870604d6-ea8e-4e4d-9c63-61887d72cbac,False,True
goal,False,com.kmong.kmong,3.3.5,SM-G960N,samsung,Android8.0.0,124905b3-87e0-444c-a4b7-320badce7778,unattributed,unattributed,,,,buyer_order_history.view,,2018-09-29T11:00:02+09:00,a11c4544-7b29-4d67-bc56-84dd64022353,False,True
goal,False,com.kmong.iOS,4.0.2,iPhone,Apple,iOS11.4.1,9E8A06EE-94CB-4128-AC99-7A81EEC6C3B4,unattributed,unattributed,,,,kmongNotification.view,,2018-09-29T11:00:02+09:00,d5d98f11-8e68-46c6-8b41-1cab22c6d7fd,False,True
goal,False,com.kmong.kmong,3.3.5,SM-N960N,samsung,Android8.1.0,66248697-670f-4bd7-b868-172b5a0714f4,unattributed,unattributed,,,,inbox.view,,2018-09-29T11:00:03+09:00,81185ec6-8674-4339-baab-699814c00457,False,True
launch,False,com.kmong.kmong,3.3.5,SM-N960N,samsung,Android8.1.0,d3ab272b-e463-4baa-836c-7cbe6e3475e3,unattributed,unattributed,,,,,,2018-09-29T11:00:03+09:00,a1e8b73a-2551-4dad-bf5a-d1bc254cb278,False,False
goal,False,com.kmong.kmong,3.3.5,SM-N960N,samsung,Android8.1.0,c7d23077-bdc6-41ae-8b7e-2e6cc7a53e59,stranger,(not set),,(not set),,home.view,,2018-09-29T11:00:04+09:00,b5e17960-8a90-46a3-a020-f83d85b5ca02,False,True
goal,False,com.kmong.kmong,3.3.5,SM-G960N,samsung,Android8.0.0,124905b3-87e0-444c-a4b7-320badce7778,unattributed,unattributed,,,,buyer_order_track.view,,2018-09-29T11:00:04+09:00,498a5d13-80a6-410f-b194-1cf79e146665,False,True
goal,True,com.kmong.iOS,4.0.4,iPhone,Apple,iOS11.4.1,5DA66207-963D-445A-8E8D-B2B7A17AFF54,viral,WEB,,,,gig_detail.view,40802.0,2018-09-29T11:00:05+09:00,9dfe108a-a248-44fc-b91d-a311f62ae4eb,False,True
goal,False,com.kmong.kmong,3.3.5,SM-N960N,samsung,Android8.1.0,d3ab272b-e463-4baa-836c-7cbe6e3475e3,unattributed,unattributed,,,,home.view,,2018-09-29T11:00:06+09:00,935a7ecc-26f6-47d7-9d75-e2892b946ca6,False,True
goal,True,com.kmong.iOS,4.0.4,iPhone,Apple,iOS11.4.1,5DA66207-963D-445A-8E8D-B2B7A17AFF54,viral,WEB,,,,gig_detail.view,40802.0,2018-09-29T11:00:06+09:00,109969c0-1104-48a6-a9fa-4f95293fc3f2,False,True
goal,False,com.kmong.iOS,4.0.2,iPhone,Apple,iOS11.4.1,9E8A06EE-94CB-4128-AC99-7A81EEC6C3B4,unattributed,unattributed,,,,kmongNotification.view,,2018-09-29T11:00:07+09:00,f26e33c8-cb67-4dec-b2f7-ccdaa5a244eb,False,True
foreground,,com.kmong.kmong,3.3.5,SM-G955N,samsung,Android7.0,b58b31f7-4f97-445a-b03d-0be0b61b941a,,,,,,,,2018-09-29T11:00:08+09:00,654707c5-36ae-472c-8c95-43f11b7f068f,,True
goal,False,com.kmong.kmong,3.3.5,SM-G955N,samsung,Android7.0,b58b31f7-4f97-445a-b03d-0be0b61b941a,unattributed,unattributed,,,,inbox.view,,2018-09-29T11:00:09+09:00,ad8ffae4-6424-4e79-bec1-3ebf1a58f644,False,True
background,,com.kmong.kmong,3.3.5,SM-G960N,samsung,Android8.0.0,124905b3-87e0-444c-a4b7-320badce7778,,,,,,,,2018-09-29T11:00:09+09:00,ad0ae644-7b60-4341-8c93-d635770a0f30,,True
goal,False,com.kmong.kmong,3.3.5,SM-N960N,samsung,Android8.1.0,d3ab272b-e463-4baa-836c-7cbe6e3475e3,unattributed,unattributed,,,,notification.view,,2018-09-29T11:00:09+09:00,a8078f76-5a64-44b4-a06b-2dcfb6cf9670,False,True
goal,False,com.kmong.iOS,4.0.2,iPhone,Apple,iOS11.4.1,9E8A06EE-94CB-4128-AC99-7A81EEC6C3B4,unattributed,unattributed,,,,notification.view,,2018-09-29T11:00:09+09:00,0430743b-0316-4dea-a160-f2b73d0d8c1c,False,True
goal,False,com.kmong.kmong,3.3.5,SM-G955N,samsung,Android7.0,b58b31f7-4f97-445a-b03d-0be0b61b941a,unattributed,unattributed,,,,menu.view,,2018-09-29T11:00:12+09:00,8f1f478b-15bf-4168-a8ac-0c655c6c53ab,False,True
foreground,,com.kmong.kmong,3.3.5,SM-G965N,samsung,Android8.0.0,8df8cb7e-316d-4800-ad37-1025be9721c4,,,,,,,,2018-09-29T11:00:12+09:00,7e3f3fe7-1c8a-4b27-b6c5-2609c6d818d9,,True
goal,False,com.kmong.iOS,4.0.2,iPhone,Apple,iOS11.4.1,9E8A06EE-94CB-4128-AC99-7A81EEC6C3B4,unattributed,unattributed,,,,buyer_order_track.view,,2018-09-29T11:00:13+09:00,819a7734-ebd5-4088-8100-aed03bdb6be7,False,True
goal,False,com.kmong.kmong,3.3.5,SM-A720S,samsung,Android8.0.0,65d3cc3a-c1f2-4f9e-8d57-d8abee5e5ce9,app-market,google-play,,organic,,inbox_detail.view,,2018-09-29T11:00:13+09:00,48792753-d196-43aa-9a96-0cb7a574259c,False,True
goal,False,com.kmong.kmong,3.3.5,SM-G965N,samsung,Android8.0.0,8df8cb7e-316d-4800-ad37-1025be9721c4,unattributed,unattributed,,,,home.view,,2018-09-29T11:00:14+09:00,32683ca9-785e-47fd-853f-70429e039174,False,True
goal,False,com.kmong.kmong,3.3.5,SM-N960N,samsung,Android8.1.0,d3ab272b-e463-4baa-836c-7cbe6e3475e3,unattributed,unattributed,,,,notification.view,,2018-09-29T11:00:14+09:00,be92d7d2-e3de-4a54-aa8a-77ca73ce4c20,False,True
goal,False,com.kmong.kmong,3.3.5,SM-N960N,samsung,Android8.1.0,d3ab272b-e463-4baa-836c-7cbe6e3475e3,unattributed,unattributed,,,,home.view,,2018-09-29T11:00:15+09:00,60107027-c518-4174-9e7e-dea840f24f37,False,True
goal,True,com.kmong.kmong,3.3.5,SM-G965N,samsung,Android8.0.0,8df8cb7e-316d-4800-ad37-1025be9721c4,unattributed,unattributed,,,,bookmarks_gig.view,,2018-09-29T11:00:16+09:00,8004af3d-5fa1-455a-be65-7266a57bf54f,True,True
goal,False,com.kmong.kmong,3.3.5,SM-G955N,samsung,Android7.0,b58b31f7-4f97-445a-b03d-0be0b61b941a,unattributed,unattributed,,,,category_list.view,,2018-09-29T11:00:16+09:00,8660ee0f-b7c2-4871-a444-524da29873a3,False,True
foreground,,com.kmong.kmong,3.3.5,LGM-V300K,LGE,Android8.0.0,b15e36b5-7687-4fae-834b-09b9fd9b8681,,,,,,,,2018-09-29T11:00:17+09:00,cc46609b-e263-4379-bc08-d0e0059d0c4c,,True
goal,False,com.kmong.kmong,3.3.5,LGM-V300K,LGE,Android8.0.0,b15e36b5-7687-4fae-834b-09b9fd9b8681,unattributed,unattributed,,,,inbox_detail.view,,2018-09-29T11:00:17+09:00,c266bfe6-4c72-495b-b799-09e5d83b5d99,False,True
goal,False,com.kmong.kmong,3.3.5,SM-G955N,samsung,Android7.0,b58b31f7-4f97-445a-b03d-0be0b61b941a,unattributed,unattributed,,,,home.view,,2018-09-29T11:00:17+09:00,2e9d75dd-9825-4f66-beb3-82ab371f5da6,False,True
goal,False,com.kmong.kmong,3.3.5,SM-A720S,samsung,Android8.0.0,65d3cc3a-c1f2-4f9e-8d57-d8abee5e5ce9,app-market,google-play,,organic,,inbox_detail.view,,2018-09-29T11:00:17+09:00,8de0e7f0-31cf-473b-8f83-0aff54c4d917,False,True
background,,com.kmong.iOS,4.0.3,iPhone,Apple,iOS11.4,374C75AB-F0A3-4F9E-B1E2-5B9BA61C3A32,,,,,,,,2018-09-29T11:00:17+09:00,4824f223-085c-46e2-9b58-742cadc0c432,,True
goal,False,com.kmong.kmong,3.3.5,SM-G965N,samsung,Android8.0.0,8df8cb7e-316d-4800-ad37-1025be9721c4,unattributed,unattributed,,,,inbox.view,,2018-09-29T11:00:17+09:00,8dc10fbe-b0ef-42d5-9464-d69c85de16f9,False,True
exit,,com.kmong.kmong,3.3.5,SM-N960N,samsung,Android8.1.0,d3ab272b-e463-4baa-836c-7cbe6e3475e3,,,,,,,,2018-09-29T11:00:18+09:00,a4f17182-bb34-4515-94f7-36e9904ef691,,True
launch,False,com.kmong.iOS,4.0.4,iPhone,Apple,iOS11.4,37CEB448-5F15-4179-95B7-3AEFEB954E2D,unattributed,unattributed,,,,,,2018-09-29T11:00:18+09:00,8faa30ae-31b2-4a21-bfd8-203aa567998d,False,False
goal,False,com.kmong.kmong,3.3.2,SM-G960N,samsung,Android8.0.0,d8746ac6-6f43-4c9d-a574-1cc3da891cc3,unattributed,unattributed,,,,gig_detail.view,101.0,2018-09-29T11:00:18+09:00,96441cf2-e748-4ea0-a382-0e5ce7101fe2,False,True
goal,True,com.kmong.iOS,4.0.2,iPhone,Apple,iOS11.4.1,9E8A06EE-94CB-4128-AC99-7A81EEC6C3B4,unattributed,unattributed,,,,gig_detail.view,20302.0,2018-09-29T11:00:19+09:00,84b0f67e-13dd-45f8-8fb4-5a92c2763104,False,True
goal,False,com.kmong.kmong,3.3.5,SM-G955N,samsung,Android7.0,b58b31f7-4f97-445a-b03d-0be0b61b941a,unattributed,unattributed,,,,inbox.view,,2018-09-29T11:00:19+09:00,48326161-a386-43b3-bbc5-c916d13fa19c,False,True
goal,False,com.kmong.iOS,4.0.4,iPhone,Apple,iOS11.4,37CEB448-5F15-4179-95B7-3AEFEB954E2D,unattributed,unattributed,,,,inbox_detail.view,,2018-09-29T11:00:19+09:00,a58c99a3-f77e-40c3-8700-b2970437f16e,False,True
goal,False,com.kmong.iOS,4.0.4,iPhone,Apple,iOS12.0,33B290E0-DAAF-4812-BDB2-E3BD9B4A9456,unattributed,unattributed,,,,inbox_detail.view,,2018-09-29T11:00:20+09:00,574a3047-b385-4ca7-90e8-ab550027dbe5,False,True
goal,True,com.kmong.iOS,4.0.2,iPhone,Apple,iOS11.4.1,9E8A06EE-94CB-4128-AC99-7A81EEC6C3B4,unattributed,unattributed,,,,gig_detail.view,20302.0,2018-09-29T11:00:20+09:00,780a1555-00b8-43f3-8951-49b68145a86b,False,True
goal,False,com.kmong.kmong,3.3.5,SM-N960N,samsung,Android8.1.0,c7d23077-bdc6-41ae-8b7e-2e6cc7a53e59,stranger,(not set),,(not set),,home.view,,2018-09-29T11:00:21+09:00,feb15f4c-efcf-4480-8bdd-c4e29f381097,False,True
launch,False,com.kmong.kmong,3.3.5,LG-F800K,LGE,Android7.0,4ea94dc3-1cd7-42ac-be9f-1dbe445f8426,unattributed,unattributed,,,,,,2018-09-29T11:00:21+09:00,8350fe46-f207-483a-b7ca-4ba7199baa72,False,False
goal,False,com.kmong.kmong,3.3.5,LG-F800K,LGE,Android7.0,4ea94dc3-1cd7-42ac-be9f-1dbe445f8426,unattributed,unattributed,,,,inbox_detail.view,,2018-09-29T11:00:21+09:00,f2614c57-e5cf-4c8a-ae35-2f1ad8e0bf71,False,True
goal,False,com.kmong.iOS,4.0.2,iPhone,Apple,iOS11.4.1,9E8A06EE-94CB-4128-AC99-7A81EEC6C3B4,unattributed,unattributed,,,,kmongNotification.view,,2018-09-29T11:00:23+09:00,56546de8-7bc3-446c-9166-350808377379,False,True
goal,False,com.kmong.iOS,4.0.2,iPhone,Apple,iOS11.4.1,9E8A06EE-94CB-4128-AC99-7A81EEC6C3B4,unattributed,unattributed,,,,notification.view,,2018-09-29T11:00:23+09:00,258061ba-a15a-4bf8-ac93-f75338cc0625,False,True
goal,False,com.kmong.iOS,4.0.2,iPhone,Apple,iOS11.4.1,9E8A06EE-94CB-4128-AC99-7A81EEC6C3B4,unattributed,unattributed,,,,buyer_order_track.view,,2018-09-29T11:00:23+09:00,4e528093-498e-4d5c-92c8-c3eeae30ab31,False,True
goal,True,com.kmong.kmong,3.3.5,SM-G965N,samsung,Android8.0.0,8df8cb7e-316d-4800-ad37-1025be9721c4,unattributed,unattributed,,,,menu.view,,2018-09-29T11:00:23+09:00,413de990-7d66-4ee8-a024-25c3fdcf05c6,True,True
goal,False,com.kmong.kmong,3.3.5,SM-G955N,samsung,Android7.0,b58b31f7-4f97-445a-b03d-0be0b61b941a,unattributed,unattributed,,,,menu.view,,2018-09-29T11:00:23+09:00,ca89e440-34df-43ac-963a-50c485e557d6,False,True
foreground,,com.kmong.iOS,4.0.4,iPhone,Apple,iOS11.4.1,DE623376-3BBD-444B-90F9-3E017EEB467F,,,,,,,,2018-09-29T11:00:24+09:00,13590ca4-4404-426d-ac47-c291b8716716,,True
background,,com.kmong.kmong,3.3.5,SM-G950N,samsung,Android8.0.0,863c3dd0-c95d-4564-9c53-c8d701812d79,,,,,,,,2018-09-29T11:00:24+09:00,aaa2fa85-382a-486d-b7cf-c73344d442ca,,True
goal,False,com.kmong.kmong,3.3.5,SM-G955F,samsung,Android8.0.0,6429d164-b326-4cdf-aa1a-7e1d73f51522,unattributed,unattributed,,,,home.view,,2018-09-29T11:00:26+09:00,eaf1a6e2-165a-4221-a26f-7d92d0b9ca92,False,True
