eventcategory,isfirstactivity,apppackagename,appversion,devicetype,devicemanufacturer,osversion,canonicaldeviceuuid,sourcetype,channel,params_campaign,params_medium,params_term,inappeventcategory,inappeventlabel,eventdatetime,rowuuid,isfirstgoalactivity,event_rank
goal,True,com.kmong.kmong,3.3.5,SM-A530N,samsung,Android8.0.0,d84e8243-9ddb-47e2-86a1-302d20ce157f,app-market,google-play,,organic,,gig_detail.view,1008.0,2018-09-29T05:00:04+09:00,7680d508-1a8a-4ad7-96c2-a4bb59cef5e1,False,True
goal,True,com.kmong.kmong,3.3.5,SM-G960N,samsung,Android8.0.0,3548b8c4-a287-4355-bf29-975a8ae6c4ab,unattributed,unattributed,,,,search_gig.view,,2018-09-29T05:00:04+09:00,3e68b0a9-fee1-450b-b862-af942d9b7f55,True,True
launch,False,com.kmong.kmong,3.3.3,SM-T813,samsung,Android7.0,f02b8b61-cff6-4cd2-ac22-30abda5b1db5,unattributed,unattributed,,,,,,2018-09-29T05:00:07+09:00,051e5ed4-4285-47de-975a-f330cf3b3c68,False,False
goal,False,com.kmong.kmong,3.3.3,SM-T813,samsung,Android7.0,f02b8b61-cff6-4cd2-ac22-30abda5b1db5,unattributed,unattributed,,,,home.view,,2018-09-29T05:00:07+09:00,792c7798-586f-4053-825f-a703329be13d,False,True
goal,False,com.kmong.kmong,3.3.3,SM-T813,samsung,Android7.0,f02b8b61-cff6-4cd2-ac22-30abda5b1db5,unattributed,unattributed,,,,category_gig.view,412.0,2018-09-29T05:00:07+09:00,f696a93f-d9b3-4d2a-84ce-631ae4431095,False,True
goal,False,com.kmong.kmong,3.3.5,SM-A530N,samsung,Android8.0.0,d84e8243-9ddb-47e2-86a1-302d20ce157f,app-market,google-play,,organic,,category_gig.view,1008.0,2018-09-29T05:00:15+09:00,69ee301c-c2e5-4143-8bf9-df3fcce1c8c2,False,True
goal,True,com.kmong.kmong,3.3.5,SM-G960N,samsung,Android8.0.0,3548b8c4-a287-4355-bf29-975a8ae6c4ab,unattributed,unattributed,,,,gig_detail.view,60201.0,2018-09-29T05:00:17+09:00,2b74a788-90c6-42cb-8beb-94d93b5345b7,False,True
goal,False,com.kmong.iOS,4.0.4,iPhone,Apple,iOS11.4.1,A994DA2E-F2EB-4532-A862-E3CD8992F35B,unattributed,unattributed,,,,search.view,,2018-09-29T05:00:25+09:00,9123b608-234f-473b-8bde-345e3a59efe4,False,True
goal,False,com.kmong.iOS,4.0.4,iPhone,Apple,iOS11.4.1,A994DA2E-F2EB-4532-A862-E3CD8992F35B,unattributed,unattributed,,,,home.view,,2018-09-29T05:00:26+09:00,5f07466b-244a-4387-aa26-456acf8898b9,False,True
goal,True,com.kmong.kmong,3.3.5,SM-A530N,samsung,Android8.0.0,d84e8243-9ddb-47e2-86a1-302d20ce157f,app-market,google-play,,organic,,gig_detail.view,1008.0,2018-09-29T05:00:31+09:00,a2516c49-3ea3-4419-bf89-21204f89c70b,False,True
background,,com.kmong.iOS,4.0.4,iPhone,Apple,iOS11.4.1,A994DA2E-F2EB-4532-A862-E3CD8992F35B,,,,,,,,2018-09-29T05:00:43+09:00,810af04b-6345-44b5-abe5-3802cb0c546d,,True
goal,False,com.kmong.kmong,3.3.5,SM-A530N,samsung,Android8.0.0,d84e8243-9ddb-47e2-86a1-302d20ce157f,app-market,google-play,,organic,,category_gig.view,1008.0,2018-09-29T05:00:45+09:00,7c4daea0-e4fd-4900-9e95-fb252d40078a,False,True
launch,False,com.kmong.iOS,4.0.4,iPhone,Apple,iOS12.0,3775D99A-2165-4E4E-BD8E-52478AF8E3E0,unattributed,unattributed,,,,,,2018-09-29T05:00:51+09:00,d90ac94e-d7dc-4ddc-a877-ca1bd3c725a2,False,False
goal,True,com.kmong.kmong,3.3.5,SM-A530N,samsung,Android8.0.0,d84e8243-9ddb-47e2-86a1-302d20ce157f,app-market,google-play,,organic,,gig_detail.view,1008.0,2018-09-29T05:00:51+09:00,e459df70-0dec-4e0f-b2e2-110b6882fc30,False,True
goal,False,com.kmong.iOS,4.0.4,iPhone,Apple,iOS12.0,3775D99A-2165-4E4E-BD8E-52478AF8E3E0,unattributed,unattributed,,,,home.view,,2018-09-29T05:00:52+09:00,1c33edf3-93af-4727-9eca-83a0d3c0c47e,False,True
background,,com.kmong.iOS,4.0.4,iPhone,Apple,iOS12.0,3775D99A-2165-4E4E-BD8E-52478AF8E3E0,,,,,,,,2018-09-29T05:00:56+09:00,94beedc3-74e5-4e59-b58c-c39e61808b9f,,True
launch,False,com.kmong.iOS,4.0.4,iPhone,Apple,iOS11.3.1,BAEB965D-345C-4958-9303-1F028638AE0C,unattributed,unattributed,,,,,,2018-09-29T05:00:58+09:00,9a115bbb-bd61-4a04-aa3a-7fdbbf1481fe,False,False
goal,False,com.kmong.kmong,3.3.5,SM-A530N,samsung,Android8.0.0,d84e8243-9ddb-47e2-86a1-302d20ce157f,app-market,google-play,,organic,,category_gig.view,1008.0,2018-09-29T05:01:00+09:00,9303724c-6e82-4abf-bb03-51d1467239d4,False,True
goal,False,com.kmong.iOS,4.0.4,iPhone,Apple,iOS11.3.1,BAEB965D-345C-4958-9303-1F028638AE0C,unattributed,unattributed,,,,home.view,,2018-09-29T05:01:00+09:00,2c9c34df-55c7-4781-8af9-4c78e38e15b9,False,True
goal,False,com.kmong.iOS,4.0.4,iPhone,Apple,iOS11.3.1,BAEB965D-345C-4958-9303-1F028638AE0C,unattributed,unattributed,,,,home.view,,2018-09-29T05:01:05+09:00,eb4f7d60-d3ca-4da4-b800-efce0a72b48c,False,True
background,,com.kmong.iOS,4.0.4,iPhone,Apple,iOS11.3.1,BAEB965D-345C-4958-9303-1F028638AE0C,,,,,,,,2018-09-29T05:01:07+09:00,2c241751-6604-4814-a6c1-194aeea204a3,,True
goal,True,com.kmong.kmong,3.3.5,SM-A530N,samsung,Android8.0.0,d84e8243-9ddb-47e2-86a1-302d20ce157f,app-market,google-play,,organic,,gig_detail.view,1008.0,2018-09-29T05:01:10+09:00,f8f6ee36-711c-404b-a0f6-c337df309428,False,True
goal,False,com.kmong.kmong,3.3.5,SM-A530N,samsung,Android8.0.0,d84e8243-9ddb-47e2-86a1-302d20ce157f,app-market,google-play,,organic,,category_gig.view,1008.0,2018-09-29T05:01:15+09:00,f6c9091d-9193-4d97-817b-5a5caa156b0a,False,True
goal,True,com.kmong.kmong,3.3.5,SM-A530N,samsung,Android8.0.0,d84e8243-9ddb-47e2-86a1-302d20ce157f,app-market,google-play,,organic,,category_gig.view,1020.0,2018-09-29T05:01:21+09:00,86237672-abf4-4655-9123-5b05c596ef87,False,True
goal,True,com.kmong.kmong,3.3.5,SM-A530N,samsung,Android8.0.0,d84e8243-9ddb-47e2-86a1-302d20ce157f,app-market,google-play,,organic,,category_gig.view,1028.0,2018-09-29T05:01:23+09:00,457bc075-efcd-4a70-a95b-aa8afacd4959,False,True
launchInSession,,com.kmong.kmong,3.3.5,Mi A1,Xiaomi,Android8.1.0,fd13d46d-dcbc-4c40-a5a9-913d7b0b9319,,,,,,,,2018-09-29T05:01:23+09:00,9ff2b877-3e48-4d20-8b08-7ea8ecec918b,,False
goal,False,com.kmong.kmong,3.3.5,Mi A1,Xiaomi,Android8.1.0,fd13d46d-dcbc-4c40-a5a9-913d7b0b9319,viral,WEB,,,,home.view,,2018-09-29T05:01:25+09:00,146e6d2b-6d6c-435a-b093-fcdac29e93ba,False,True
goal,False,com.kmong.kmong,3.3.5,SM-A530N,samsung,Android8.0.0,d84e8243-9ddb-47e2-86a1-302d20ce157f,app-market,google-play,,organic,,category_gig.view,1020.0,2018-09-29T05:01:26+09:00,b9594eb8-2106-49dc-bcc4-981f498c1a02,False,True
goal,False,com.kmong.kmong,3.3.5,Mi A1,Xiaomi,Android8.1.0,fd13d46d-dcbc-4c40-a5a9-913d7b0b9319,viral,WEB,,,,inbox.view,,2018-09-29T05:01:27+09:00,3706067f-0135-4aa4-a893-18dec92d267a,False,True
goal,False,com.kmong.kmong,3.3.5,Mi A1,Xiaomi,Android8.1.0,fd13d46d-dcbc-4c40-a5a9-913d7b0b9319,viral,WEB,,,,inbox_detail.view,,2018-09-29T05:01:28+09:00,58e5b974-ad62-42d4-8fb4-d66ef68c3db4,False,True
background,,com.kmong.kmong,3.3.5,Mi A1,Xiaomi,Android8.1.0,fd13d46d-dcbc-4c40-a5a9-913d7b0b9319,,,,,,,,2018-09-29T05:01:37+09:00,f9f61fea-0feb-4314-a995-da76cc00d713,,True
foreground,,com.kmong.kmong,3.3.5,Mi A1,Xiaomi,Android8.1.0,fd13d46d-dcbc-4c40-a5a9-913d7b0b9319,,,,,,,,2018-09-29T05:01:38+09:00,9fbe0463-f9c6-40fa-9556-ca49ddf5aefc,,True
background,,com.kmong.kmong,3.3.5,Mi A1,Xiaomi,Android8.1.0,fd13d46d-dcbc-4c40-a5a9-913d7b0b9319,,,,,,,,2018-09-29T05:01:39+09:00,939ea6c9-389c-464d-824e-63c12cc3e9b5,,True
goal,True,com.kmong.kmong,3.3.5,SM-A530N,samsung,Android8.0.0,d84e8243-9ddb-47e2-86a1-302d20ce157f,app-market,google-play,,organic,,category_gig.view,1026.0,2018-09-29T05:01:40+09:00,70756378-a2c2-46e0-80f6-dd133d4e8a6a,False,True
goal,True,com.kmong.kmong,3.3.5,SM-G960N,samsung,Android8.0.0,3548b8c4-a287-4355-bf29-975a8ae6c4ab,unattributed,unattributed,,,,inbox_detail.view,,2018-09-29T05:01:44+09:00,a87d187b-9744-4dbe-9802-224b670cfd5b,True,True
foreground,,com.kmong.kmong,3.3.5,Mi A1,Xiaomi,Android8.1.0,fd13d46d-dcbc-4c40-a5a9-913d7b0b9319,,,,,,,,2018-09-29T05:02:06+09:00,b0d44613-2d38-4edc-a59e-2d364bf55de1,,True
goal,True,com.kmong.kmong,3.3.5,SM-A530N,samsung,Android8.0.0,d84e8243-9ddb-47e2-86a1-302d20ce157f,app-market,google-play,,organic,,category_gig.view,1002.0,2018-09-29T05:02:07+09:00,432d82be-b74f-46ee-bd9a-498df761c3b3,False,True
goal,False,com.kmong.kmong,3.3.5,Mi A1,Xiaomi,Android8.1.0,fd13d46d-dcbc-4c40-a5a9-913d7b0b9319,viral,WEB,,,,inbox.view,,2018-09-29T05:02:08+09:00,ab6983fb-44ad-49be-9ec9-a1ef409228b7,False,True
launch,False,com.kmong.iOS,4.0.1,iPhone,Apple,iOS11.4.1,CFC6A656-2F11-40B7-8F74-02C1EB047A70,unattributed,unattributed,,,,,,2018-09-29T05:02:08+09:00,8f501340-8453-4319-a917-2991bc15214f,False,False
goal,False,com.kmong.kmong,3.3.5,Mi A1,Xiaomi,Android8.1.0,fd13d46d-dcbc-4c40-a5a9-913d7b0b9319,viral,WEB,,,,inbox_detail.view,,2018-09-29T05:02:10+09:00,b9901d33-09a3-4834-b98c-5a0b71326992,False,True
goal,False,com.kmong.kmong,3.3.5,SM-G960N,samsung,Android8.0.0,3548b8c4-a287-4355-bf29-975a8ae6c4ab,unattributed,unattributed,,,,gig_detail.view,60201.0,2018-09-29T05:02:11+09:00,d9969977-1683-4672-91bc-52eabaaf9b7c,False,True
goal,False,com.kmong.kmong,3.3.5,SM-G960N,samsung,Android8.0.0,3548b8c4-a287-4355-bf29-975a8ae6c4ab,unattributed,unattributed,,,,gig_detail.view,60201.0,2018-09-29T05:02:12+09:00,03c3f546-e908-4838-81dc-cf1fd01a77a2,False,True
