id,count
0,86.862
1,216.398
2,77.448
4,29.964
5,75.458
10,126.996
11,195.622
12,317.912
15,38.066
17,129.372
18,295.666
23,251.812
25,99.55
26,38.168
31,207.35
39,170.004
40,27.302
41,184.464
42,362.348
43,155.102
51,224.618
52,83.28
54,16.77
60,141.624
61,138.692
62,113.728
63,27.786
65,122.152
66,110.51
68,159.78
71,72.18
80,30.598
82,70.388
94,131.65
98,273.616
101,33.282
102,133.006
107,102.392
112,230.922
113,70.648
115,50.922
116,122.77
120,163.534
121,83.708
122,331.926
132,193.5
143,84.428
147,63.058
150,18.588
151,87.996
152,227.846
153,92.844
155,164.65
156,87.298
159,195.194
161,138.082
163,45.712
177,177.622
186,14.598
188,19.104
190,91.578
191,78.88
192,263.824
195,309.108
200,142.154
209,310.348
210,15.266
211,226.814
214,124.512
215,26.216
218,101.55
219,33.034
222,130.102
225,15.072
228,315.766
236,224.098
241,36.636
242,179.096
243,225.22
245,19.088
247,247.986
251,131.024
252,86.86
253,84.932
254,93.966
258,318.584
260,49.014
261,171.438
265,114.742
266,277.556
267,298.966
269,158.122
270,67.848
275,100.314
278,36.212
279,84.47
286,98.486
287,29.574
288,211.556
289,140.694
293,18.342
294,149.806
297,45.652
302,122.422
303,64.338
304,78.538
307,99.748
309,17.28
311,171.54
312,128.004
314,180.422
315,234.256
319,171.45
322,119.88
323,67.398
325,127.51
327,241.962
330,35.826
332,198.118
333,17.69
338,102.938
341,108.918
345,192.372
348,123.79
349,45.362
350,118.394
352,48.806
355,15.748
356,220.808
358,53.512
363,131.268
369,162.958
371,18.528
372,144.62
375,302.61
380,129.868
388,45.31
391,136.836
392,252.77
393,365.04
394,201.332
396,27.922
401,37.226
407,107.72
409,90.484
410,114.972
416,98.084
418,122.792
420,150.352
421,223.958
422,130.442
424,288.506
428,336.918
429,216.398
431,165.818
435,11.758
439,115.53
441,12.006
447,94.224
449,149.182
451,136.232
452,16.65
454,209.178
458,215.178
463,123.238
467,14.572
470,239.016
471,154.286
474,286.402
478,16.414
483,121.114
484,133.596
485,86.158
486,128.008
491,99.82
494,103.632
495,235.414
497,200.626
499,162.68
515,113.308
518,207.15
521,180.704
525,147.828
529,241.282
532,145.132
534,109.616
540,113.552
544,296.084
547,164.51
549,44.184
563,35.296
564,143.02
567,122.282
572,111.434
577,132.668
578,262.338
585,338.398
588,143.536
589,120.376
590,107.398
592,16.824
594,235.312
596,14.462
598,346.83
599,142.588
605,36.724
606,129.826
607,253.432
608,225.17
609,65.4
610,284.176
611,176.884
614,156.486
615,224.956
616,244.856
617,127.168
618,239.698
624,117.072
629,135.298
631,93.17
633,89.006
637,23.958
638,104.68
643,65.766
644,133.856
645,34.91
646,203.994
648,183.09
650,38.292
651,194.132
652,269.816
656,108.11
657,18.288
659,85.226
660,209.858
662,100.122
665,372.326
675,320.72
681,163.476
682,204.912
685,20.158
686,213.766
689,24.816
696,136.09
703,142.994
704,97.44
705,122.092
714,233.702
717,99.096
718,14.436
720,86.282
721,259.854
723,229.006
726,191.204
728,142.214
730,200.608
731,27.356
734,340.826
737,75.374
738,17.948
745,162.496
746,26.942
749,229.232
752,25.636
753,171.936
758,243.656
765,16.544
766,225.68
768,85.388
769,190.59
774,134.22
775,109.254
781,52.306
784,323.74
794,18.454
795,278.024
796,84.368
802,158.846
803,218.18
805,33.652
806,291.062
807,101.252
809,15.59
810,165.894
812,196.728
814,114.276
818,248.656
819,135.328
825,74.382
836,108.814
839,119.782
847,264.6
848,174.404
851,120.974
852,135.632
853,33.688
857,146.142
858,43.124
859,224.266
861,23.858
867,103.95
870,219.534
871,218.42
872,218.03
874,353.844
881,194.65
886,133.358
890,55.17
895,161.254
899,87.802
900,275.288
901,260.702
902,236.186
903,41.08
913,262.212
918,203.584
923,126.278
924,37.472
926,26.568
927,18.782
930,219.12
934,32.084
937,123.58
939,140.996
941,90.28
942,370.384
946,272.516
950,98.156
953,88.178
959,101.068
961,27.052
962,95.168
964,84.606
969,182.854
971,152.66
976,42.086
978,257.508
980,235.666
981,150.81
990,359.706
993,18.752
996,19.834
998,325.424
999,188.346
1006,122.406
1008,14.914
1013,29.976
1015,99.778
1016,119.47
1022,300.414
1026,221.288
1028,235.408
1031,67.016
1034,46.48
1037,197.076
1040,62.864
1042,19.112
1046,17.908
1048,100.48
1049,112.032
1050,68.918
1051,216.29
1052,237.758
1055,191.354
1060,160.13
1064,26.928
1066,69.84
1071,99.778
1073,14.062
1089,209.46
1091,99.38
1092,75.47
1093,233.588
1096,309.588
1097,218.598
1098,17.832
1099,40.396
1102,180.962
1107,101.716
1109,41.97
1111,138.774
1112,116.952
1114,308.752
1116,289.148
1117,120.642
1118,87.568
1122,143.826
1124,163.482
1127,118.926
1133,217.314
1134,36.836
1135,131.61
1139,295.822
1143,54.106
1150,116.71
1151,114.804
1153,272.282
1155,27.412
1162,26.908
1163,192.442
1166,20.776
1171,85.802
1172,15.474
1173,257.17
1174,77.466
1177,122.268
1178,155.632
1184,182.358
1185,113.29
1186,117.096
1187,164.422
1188,283.882
1191,138.144
1207,123.174
1213,45.588
1215,127.842
1223,175.924
1227,120.56
1236,54.79
1237,49.842
1238,18.296
1241,29.322
1248,17.062
1250,38.12
1251,164.092
1253,113.47
1255,98.79
1257,172.81
1261,114.886
1262,344.778
1265,131.022
1273,186.73
1277,260.432
1278,115.694
1280,113.644
1284,227.29
1285,332.128
1288,34.36
1295,117.148
1297,358.966
1299,257.496
1304,147.972
1308,42.088
1310,95.246
1311,116.57
1314,92.298
1315,112.124
1318,31.648
1320,324.018
1321,292.372
1322,243.938
1330,117.29
1333,169.656
1334,226.086
1341,127.628
1344,146.176
1351,238.764
1354,102.836
1356,49.856
1363,121.122
1365,207.956
1369,128.34
1373,114.886
1375,112.742
1377,86.764
1379,129.696
1380,275.472
1381,99.966
1384,172.856
1390,189.038
1393,242.804
1395,49.366
1399,323.146
1400,94.826
1401,174.072
1404,166.166
1408,14.198
1409,28.912
1413,219.074
1416,276.876
1418,102.582
1423,101.066
1424,26.6
1425,16.008
1433,248.084
1434,139.552
1436,328.996
1442,244.344
1444,85.4
1445,107.754
1452,237.4
1455,165.136
1462,69.97
1467,73.278
1472,42.822
1475,186.896
1493,114.75
1501,225.694
1503,294.45
1504,221.944
1505,14.928
1511,224.114
1512,47.922
1513,85.056
1514,37.0
1528,251.758
1533,242.296
1534,28.21
1536,152.326
1537,78.334
1539,221.642
1550,222.916
1552,212.332
1554,205.126
1555,355.038
1556,97.94
1559,35.752
1563,241.308
1566,148.732
1567,151.09
1568,26.66
1571,230.178
1572,17.562
1574,48.848
1577,17.504
1583,71.86
1585,31.006
1586,193.554
1587,199.394
1596,149.962
1602,37.27
1604,77.814
1605,32.91
1610,305.51
1611,96.428
1616,33.34
1617,98.506
1618,16.148
1622,43.926
1623,33.142
1628,309.372
1631,16.69
1632,185.126
1633,242.412
1634,317.298
1636,226.608
1637,101.328
1643,129.334
1644,103.188
1646,93.58
1648,209.584
1651,33.546
1656,19.124
1658,143.96
1659,17.526
1665,179.518
1666,142.926
1670,41.488
1674,155.084
1679,208.036
1680,217.124
1683,329.858
1686,26.996
1691,99.956
1693,37.182
1696,40.622
1697,98.564
1703,97.27
1706,27.318
1709,176.4
1710,87.154
1712,198.448
1713,127.682
1718,343.888
1719,169.218
1722,280.328
1723,136.04
1724,285.74
1728,58.206
1730,30.688
1732,28.028
1737,38.092
1745,88.384
1747,14.352
1748,13.306
1755,105.02
1759,16.712
1761,271.242
1764,237.258
1765,150.932
1766,88.874
1768,103.906
1770,29.646
1771,148.418
1774,97.846
1785,129.534
1788,188.086
1792,14.856
1794,231.616
1797,119.868
1798,13.97
1799,270.698
1802,104.342
1806,33.392
1808,82.39
1810,248.86
1818,121.312
1819,381.462
1820,283.542
1822,225.278
1826,219.026
1827,182.268
1835,18.756
1841,116.596
1842,141.61
1843,16.868
1846,45.25
1849,103.522
1850,202.596
1851,195.572
1857,51.068
1858,181.564
1860,97.314
1861,249.716
1864,116.086
1869,320.396
1871,69.812
1872,31.258
1875,17.31
1878,231.238
1879,250.204
1885,90.982
1888,107.148
1889,28.734
1890,94.612
1896,146.958
1897,168.66
1898,118.842
1900,105.322
1905,40.518
1908,117.422
1909,101.246
1913,71.502
1918,109.816
1922,316.886
1923,130.83
1925,264.32
1926,136.29
1927,299.44
1930,201.412
1935,63.554
1939,119.668
1942,96.122
1943,291.136
1948,252.862
1949,261.122
1951,107.256
1953,120.008
1959,133.194
1963,16.828
1967,129.254
1973,261.63
1975,26.994
1976,89.112
1990,118.862
1993,116.276
1997,194.118
1999,125.37
2001,305.198
2004,87.934
2010,102.558
2013,131.636
2017,305.574
2021,108.246
2023,163.082
2026,135.526
2037,32.94
2039,193.656
2041,17.608
2046,30.974
2050,17.434
2060,230.798
2067,103.278
2069,161.764
2072,251.75
2074,139.31
2079,120.628
2083,26.142
2085,191.014
2087,16.582
2093,136.56
2094,30.826
2097,38.904
2103,98.89
2104,50.894
2107,184.208
2108,19.724
2110,95.74
2115,193.082
2117,31.296
2125,312.252
2127,271.56
2133,15.254
2134,373.822
2135,115.366
2141,257.506
2143,34.468
2145,84.614
2146,28.146
2147,272.694
2148,59.678
2149,69.898
2165,122.652
2166,159.208
2177,205.466
