id,count
0,92.74
1,218.74
2,84.538
4,30.114
5,77.048
10,123.548
11,237.602
12,314.95
15,38.258
17,123.634
18,296.936
23,250.024
25,97.74
26,38.612
31,196.164
39,160.402
40,27.096
41,188.526
42,370.108
43,149.17257142857142
51,222.957
52,83.124
54,15.225333333333333
60,142.126
61,137.74241176470588
62,115.776
63,26.762
65,119.362
66,111.8531111111111
68,151.888
71,70.418
80,30.602
82,71.708
94,130.4008
98,276.876
101,31.654
102,135.235
107,144.772
112,236.992
113,71.516
115,51.448
116,122.622
120,155.882
121,106.79
122,334.163
132,212.32
143,86.686
147,64.664
150,16.002
151,87.846
152,232.21
153,92.596
155,162.592
156,94.624
159,191.89
161,129.924
163,44.356
177,172.2165
186,12.812
188,18.096
190,94.096
191,92.688
192,269.054
195,313.48
200,148.114
209,314.92
210,14.876
211,227.54
214,202.494
215,26.362
218,100.89425974025974
219,34.042
222,127.03
225,15.2
228,319.378
236,221.598
241,36.57
242,174.444
243,222.468
245,16.22
247,248.142
251,136.444
252,88.6
253,83.666
254,102.60533333333335
258,328.534
260,48.526
261,170.184
265,114.52
266,277.156
267,301.216
269,154.98
270,68.57
275,98.76365656565656
278,36.678
279,84.696
286,98.678
287,28.9
288,241.454
289,151.0277894736842
293,17.858
294,139.35
297,44.78
302,120.046
303,62.61
304,76.076
307,99.29965656565656
309,15.814
311,168.274
312,124.698
314,180.472
315,227.112
319,162.1037894736842
322,118.81
323,67.08
325,129.594
327,230.71
330,37.142
332,197.188
333,17.734
338,101.82527272727272
341,107.818
345,195.978
348,125.416
349,44.486
350,117.722
352,49.154
355,12.62
356,226.886
358,54.494
363,132.47
369,163.03211111111113
371,16.25
372,141.5391111111111
375,302.85
380,130.0337142857143
388,44.01
391,136.596
392,268.946
393,370.876
394,200.208
396,28.038
401,36.574
407,107.246
409,91.104
410,115.918
416,103.658
418,121.594
420,148.484
421,226.518
422,134.96
424,290.174
428,340.986
429,223.316
431,204.538
435,11.422
439,112.25
441,10.902
447,94.952
449,144.228
451,142.872
452,14.788
454,222.634
458,215.798
463,123.5278111111111
467,14.748
470,252.986
471,150.47
474,288.81
478,15.341333333333335
483,120.498
484,136.862
485,84.116
486,126.17991111111111
491,97.638
494,102.362
495,237.028
497,213.8677894736842
499,160.774
515,108.414
518,228.7689777777778
521,175.538
525,148.94111111111113
529,239.235
532,143.06
534,107.736
540,110.272
544,297.4
547,163.2965714285714
549,43.392
563,35.458
564,141.145
567,121.472
572,107.52333333333334
577,132.288
578,265.792
585,343.586
588,144.482
589,124.41733333333335
590,108.84146666666668
592,16.056
594,260.99
596,13.968
598,342.206
599,145.71
605,35.47
606,130.802
607,255.27
608,227.598
609,65.678
610,287.384
611,177.846
614,156.674
615,240.19657142857142
616,242.612
617,127.11377777777778
618,245.0677777777778
624,117.834
629,132.8742
631,92.946
633,90.018
637,24.112
638,105.65266666666666
643,65.87
644,146.7957894736842
645,35.124
646,216.49578947368423
648,194.886
650,38.832
651,197.15
652,264.848
656,136.852
657,16.368
659,84.306
660,206.962
662,100.43765656565657
665,376.07
675,327.18
681,166.672
682,207.308
685,18.11
686,217.048
689,24.618
696,138.43844444444443
703,147.05978947368422
704,96.2608
705,193.472
714,237.85269423558898
717,101.016
718,14.196
720,86.666
721,257.362
723,242.564
726,188.146
728,139.43233333333333
730,198.164
731,26.654
734,341.312
737,73.966
738,16.612
745,164.484
746,27.06
749,234.5634245614035
752,26.05
753,167.62
758,246.222
765,15.156
766,227.166
768,84.898
769,190.148
774,132.44711111111113
775,107.994
781,52.142
784,329.5
794,17.786
795,274.724
796,82.288
802,172.424
803,218.628
805,32.61
806,289.584
807,101.6104
809,15.229333333333335
810,168.858
812,196.164
814,114.526
818,246.64696842105263
819,134.563
825,72.138
836,109.458
839,121.201
847,261.3664
848,173.15
851,119.075
852,134.34
853,31.258
857,140.68
858,41.916
859,236.844
861,23.282
867,102.63254545454545
870,234.1696
871,202.738
872,221.148
874,350.19
881,197.958
886,131.674
890,54.81
895,170.066
899,89.112
900,272.768
901,256.1524
902,235.026
903,41.092
913,260.292
918,194.338
923,198.918
924,35.868
926,26.306
927,17.094
930,223.5277142857143
934,32.334
937,144.856
939,163.278
941,87.572
942,370.484
946,279.0697142857143
950,97.59547785547785
953,93.80545454545454
959,108.638
961,26.842
962,97.266
964,96.702
969,198.4276
971,158.194
976,42.198
978,253.66216666666665
980,229.292
981,145.11311111111112
990,368.496
993,16.392
996,17.384
998,328.172
999,184.7905
1006,122.422
1008,14.85
1013,30.412
1015,98.108
1016,117.984
1022,307.902
1026,218.962
1028,236.626
1031,69.14
1034,46.148
1037,192.538
1040,62.408
1042,16.59
1046,17.12
1048,99.4704
1049,113.298
1050,69.904
1051,218.336
1052,235.714
1055,192.92
1060,160.468
1064,27.106
1066,77.0
1071,101.32425974025975
1073,12.346
1089,202.786
1091,92.84
1092,80.756
1093,235.826
1096,317.384
1097,224.93828947368422
1098,16.944
1099,39.244
1102,180.458
1107,102.24
1109,42.582
1111,135.846
1112,116.244
1114,308.198
1116,292.224
1117,118.234
1118,88.78
1122,147.644
1124,156.742
1127,119.016
1133,225.832
1134,38.4
1135,206.01
1139,304.176
1143,54.348
1150,117.95864957264958
1151,113.862
1153,271.61
1155,27.538
1162,27.256
1163,221.76004444444445
1166,21.024
1171,84.47
1172,14.846
1173,255.888
1174,76.674
1177,117.58
1178,182.892
1184,181.614
1185,112.688
1186,115.78
1187,166.53085714285717
1188,279.174
1191,136.33720000000002
1207,122.24052287581698
1213,44.334
1215,129.03341176470587
1223,172.752
1227,119.102
1236,55.418
1237,50.672
1238,17.638
1241,29.742
1248,16.932
1250,36.134
1251,163.95
1253,113.68511111111111
1255,99.68406926406928
1257,168.15
1261,113.52
1262,343.298
1265,131.01257142857145
1273,179.55377777777778
1277,260.898
1278,108.85
1280,113.728
1284,233.478
1285,338.726
1288,33.244
1295,116.592
1297,355.436
1299,258.112
1304,146.048
1308,39.012
1310,95.47212987012988
1311,108.694
1314,92.96
1315,112.918
1318,31.752
1320,330.736
1321,294.616
1322,243.00577777777778
1330,115.66211111111112
1333,165.064
1334,225.7
1341,128.204
1344,145.566
1351,243.182
1354,103.08
1356,49.154
1363,119.504
1365,194.188
1369,131.03666666666666
1373,114.966
1375,114.35839999999999
1377,86.626
1379,136.184
1380,276.862
1381,98.912
1384,173.186
1390,187.168
1393,246.976
1395,49.21
1399,327.036
1400,97.96
1401,163.56
1404,173.706
1408,12.936
1409,27.818
1413,221.404
1416,280.518
1418,102.076
1423,101.084
1424,26.904
1425,15.078
1433,252.89
1434,136.198
1436,328.574
1442,244.728
1444,86.084
1445,139.798
1452,235.446
1455,163.562
1462,70.98
1467,78.948
1472,41.876
1475,182.478
1493,110.672
1501,228.50254920634922
1503,300.998
1504,222.332
1505,14.622
1511,222.676
1512,47.874
1513,80.578
1514,36.864
1528,251.222
1533,244.565
1534,28.254
1536,147.10120123839008
1537,77.448
1539,237.69
1550,207.832
1552,211.34132380952383
1554,193.998
1555,366.71
1556,98.316
1559,33.054
1563,242.982
1566,149.226
1567,179.138
1568,25.966
1571,230.3814912280702
1572,16.794
1574,49.026
1577,16.706
1583,83.174
1585,29.784
1586,187.788
1587,196.424
1596,152.272
1602,35.248
1604,82.75
1605,31.392
1610,309.312
1611,96.194
1616,31.964
1617,99.174
1618,15.562
1622,41.384
1623,34.202
1628,308.862
1631,14.472
1632,184.926
1633,239.90296842105263
1634,318.444
1636,229.456
