eventcategory,isfirstactivity,apppackagename,appversion,devicetype,devicemanufacturer,osversion,canonicaldeviceuuid,sourcetype,channel,params_campaign,params_medium,params_term,inappeventcategory,inappeventlabel,eventdatetime,rowuuid,isfirstgoalactivity,event_rank
exit,,com.kmong.kmong,3.3.5,SM-N910S,samsung,Android6.0.1,19842d1c-fedc-4ee9-a0b1-d2455e4ac6d0,,,,,,,,2018-09-29T09:00:00+09:00,149ecf56-3001-4c21-8201-174597fdc2df,,True
goal,False,com.kmong.kmong,3.3.5,SM-N950N,samsung,Android8.0.0,c2eeabf5-efb0-443a-a78a-afa8dcb0b16d,unattributed,unattributed,,,,inbox_detail.view,,2018-09-29T09:00:00+09:00,fd124c11-2c7a-4ba3-99aa-07dfdc9d78f9,False,True
goal,False,com.kmong.iOS,4.0.4,iPhone,Apple,iOS11.4.1,BD4EC872-DF5A-40E9-BDC7-123A074A4DB6,unattributed,unattributed,,,,gig_detail.view,724.0,2018-09-29T09:00:00+09:00,cbf23096-cbdc-495b-bf2e-5f67e657b0a6,False,True
goal,False,com.kmong.kmong,3.3.5,SM-G930K,samsung,Android8.0.0,faba7ac4-4cef-4353-993b-82c6f959abd7,unattributed,unattributed,,,,search_gig_filter.view,,2018-09-29T09:00:01+09:00,46bef9ae-ce5d-4b49-9fc9-3e4ec08ce432,False,True
goal,False,com.kmong.kmong,3.3.2,SM-G920S,samsung,Android7.0,d3a7ed19-a228-40bf-9892-b3b7c30e7fbd,unattributed,unattributed,,,,notification.view,,2018-09-29T09:00:06+09:00,e301c2da-cba1-47fe-b790-307ac43f460a,False,True
goal,False,com.kmong.kmong,3.3.2,SM-G920S,samsung,Android7.0,d3a7ed19-a228-40bf-9892-b3b7c30e7fbd,unattributed,unattributed,,,,home.view,,2018-09-29T09:00:06+09:00,12797f40-f28b-452b-9083-17a1fe8d966d,False,True
launch,False,com.kmong.kmong,3.3.5,SM-N950N,samsung,Android8.0.0,0755e3f0-6c3f-41fa-bf10-710beed3229a,viral,WEB,,,,,,2018-09-29T09:00:07+09:00,4a6b392a-5b28-4039-bab4-87102a3ea914,False,False
launch,False,com.kmong.iOS,4.0.4,iPhone,Apple,iOS11.4.1,90591877-69EC-494B-BBA1-AF6CCBE22EAC,unattributed,unattributed,,,,,,2018-09-29T09:00:07+09:00,4e74fecd-1bc7-456c-9365-b397049305d3,False,False
exit,,com.kmong.kmong,3.3.2,SM-G920S,samsung,Android7.0,d3a7ed19-a228-40bf-9892-b3b7c30e7fbd,,,,,,,,2018-09-29T09:00:07+09:00,954df665-2ce7-4683-bfde-130688817bc6,,True
goal,False,com.kmong.kmong,3.3.5,SM-N950N,samsung,Android8.0.0,05c96558-c8a6-448b-8a5a-1582cb6be986,unattributed,unattributed,,,,category_gig.view,222.0,2018-09-29T09:00:07+09:00,4d925e20-12ed-4823-9d9a-5b5be20a5d39,False,True
background,,com.kmong.kmong,3.3.2,SM-G920S,samsung,Android7.0,d3a7ed19-a228-40bf-9892-b3b7c30e7fbd,,,,,,,,2018-09-29T09:00:08+09:00,8efdbf8a-7a54-4b02-9ea7-deebadf3b4f9,,True
goal,False,com.kmong.kmong,3.3.5,SM-N950N,samsung,Android8.0.0,0755e3f0-6c3f-41fa-bf10-710beed3229a,viral,WEB,,,,home.view,,2018-09-29T09:00:09+09:00,87e9f90b-e99f-4441-8dac-5bf669ffa5fe,False,True
goal,False,com.kmong.kmong,3.3.5,SM-N950N,samsung,Android8.0.0,c2eeabf5-efb0-443a-a78a-afa8dcb0b16d,unattributed,unattributed,,,,inbox_detail.view,,2018-09-29T09:00:09+09:00,cc145c77-8afe-4f08-8bd2-c607ab3950ff,False,True
background,,com.kmong.iOS,4.0.4,iPhone,Apple,iOS12.0,CFF300BC-FF19-4283-B38A-C15A8558515E,,,,,,,,2018-09-29T09:00:09+09:00,f2bdb2c9-88bb-4b27-863a-f7896b722d01,,True
goal,False,com.kmong.iOS,4.0.4,iPhone,Apple,iOS11.4.1,BD4EC872-DF5A-40E9-BDC7-123A074A4DB6,unattributed,unattributed,,,,menu.view,,2018-09-29T09:00:09+09:00,1256ebc3-5b31-47e0-b5aa-2764a2cd3be9,False,True
foreground,,com.kmong.kmong,3.3.5,SM-N920K,samsung,Android7.0,a97ed41b-c544-44c1-9e7c-4ddc4180e8c2,,,,,,,,2018-09-29T09:00:11+09:00,c8e32a9b-c331-407f-8af6-367e4d78103d,,True
launchInSession,,com.kmong.kmong,3.3.5,SM-N920K,samsung,Android7.0,a97ed41b-c544-44c1-9e7c-4ddc4180e8c2,,,,,,,,2018-09-29T09:00:11+09:00,b06c10c2-d02e-4793-b9ae-85c88c0c31ef,,False
